FITS name	Object	MJD [day]	X	Y	Int
FIELD_01_R.076	Real	56004,91474	22,4	283,53	8942
FIELD_01_R.076	Fake	56004,91474	148,97	161,86	2340,6
FIELD_01_R.076	Fake	56004,91474	171,27	288,54	227,5
FIELD_01_R.076	Fake	56004,91474	194,42	636,71	256,7
FIELD_01_R.076	Fake	56004,91474	329,19	448,47	16891
					
FIELD_01_R.082	Real	56004,91807	64,09	341,2	21463
FIELD_01_R.082	Fake	56004,91807	373,77	286,91	2105,6
FIELD_01_R.082	Fake	56004,91807	514,14	559,67	782,1
FIELD_01_R.082	Fake	56004,91807	175,93	284,53	215,5
FIELD_01_R.082	Fake	56004,91807	90,25	723,59	441,2
					
FIELD_01_R.091	Real	56004,92307	127,3	443,14	17162,8
FIELD_01_R.091	Fake	56004,92307	701,8	631,93	2175,1
FIELD_01_R.091	Fake	56004,92307	406,05	550,45	294,3
FIELD_01_R.091	Fake	56004,92307	387,38	344,23	685,6
FIELD_01_R.091	Fake	56004,92307	173,07	590,08	1940
					
FIELD_01_R.100	Real	56004,92805	190,73	561,47	13962,8
FIELD_01_R.100	Fake	56004,92805	349,99	651,43	1363,8
FIELD_01_R.100	Fake	56004,92805	613,07	472,13	1971,6
FIELD_01_R.100	Fake	56004,92805	194,66	635,75	310,7
FIELD_01_R.100	Fake	56004,92805	129,98	362,23	4821,1
					
FIELD_01_R.107	Real	56004,93192	241,34	666,17	19357,6
FIELD_01_R.107	Fake	56004,93192	412,15	705,76	1878,6
FIELD_01_R.107	Fake	56004,93192	124,64	417,11	259,6
FIELD_01_R.107	Fake	56004,93192	196,13	636,23	337,8
FIELD_01_R.107	Fake	56004,93192	171,17	922,08	469
					
FIELD_01_R.113	Real	56004,93525	285,35	766,01	42795,2
FIELD_01_R.113	Fake	56004,93525	591,4	717,85	297,7
FIELD_01_R.113	Fake	56004,93525	342,13	291,91	380,8
FIELD_01_R.113	Fake	56004,93525	439,92	855,83	317,8
FIELD_01_R.113	Fake	56004,93525	110,51	621,39	1469,1
					
FIELD_01_R.122	Real	56004,94023	350,52	962,43	18867,1
FIELD_01_R.122	Fake	56004,94023	480,38	635,36	571,5
FIELD_01_R.122	Fake	56004,94023	605,13	978,88	449,2
FIELD_01_R.122	Fake	56004,94023	137,76	797,35	218,3
FIELD_01_R.122	Fake	56004,94023	194,21	634,87	231,4
					
FIELD_01_R.125	Real	56004,94189	372,9	984,45	10678,6
FIELD_01_R.125	Fake	56004,94189	632,04	555,8	313,1
FIELD_01_R.125	Fake	56004,94189	194,39	635,8	251,2
FIELD_01_R.125	Fake	56004,94189	478,04	938,28	17768,3
FIELD_01_R.125	Fake	56004,94189	84,93	682,46	417,7
