FITS name	Object	MJD [day]	X	Y	Int
FIELD01_R.091	Real	55991,86315	599,61	472,34	56401,2
FIELD01_R.091	Fake	55991,86315	637,9	550,3	3324,8
FIELD01_R.091	Fake	55991,86315	916,21	136,62	245,6
FIELD01_R.091	Fake	55991,86315	616,89	57,09	143,1
FIELD01_R.091	Fake	55991,86315	383,85	439,87	2825,3
					
FIELD01_R.096	Real	55991,86563	598,63	462,16	59342,3
FIELD01_R.096	Fake	55991,86563	987,88	354,34	4287,9
FIELD01_R.096	Fake	55991,86563	684,5	429,78	445,2
FIELD01_R.096	Fake	55991,86563	411,68	613,87	497,4
FIELD01_R.096	Fake	55991,86563	609,82	55,57	408,8
					
FIELD01_R.101	Real	55991,86811	599,79	451,38	55722,3
FIELD01_R.101	Fake	55991,86811	760,01	436,98	315,2
FIELD01_R.101	Fake	55991,86811	900,22	536,01	845,3
FIELD01_R.101	Fake	55991,86811	728,01	234,77	646,9
FIELD01_R.101	Fake	55991,86811	308,81	252,91	1970,6
					
FIELD01_R.106	Real	55991,87058	600,07	443,13	59471,5
FIELD01_R.106	Fake	55991,87058	1017,04	358,18	2067,7
FIELD01_R.106	Fake	55991,87058	631,42	735,98	2025,8
FIELD01_R.106	Fake	55991,87058	428,28	620,52	686,8
FIELD01_R.106	Fake	55991,87058	414,3	469,9	906,2
					
FIELD01_R.111	Real	55991,87306	599,98	434,45	56017,9
FIELD01_R.111	Fake	55991,87306	764,35	437,38	165,4
FIELD01_R.111	Fake	55991,87306	615,62	58,3	158
FIELD01_R.111	Fake	55991,87306	826,85	623,03	739,4
FIELD01_R.111	Fake	55991,87306	457,97	316,7	7017,3
					
FIELD01_R.116	Real	55991,87553	600,62	427,76	11697,5
FIELD01_R.116	Fake	55991,87553	319,49	420,47	1815,8
FIELD01_R.116	Fake	55991,87553	402,4	569,95	547,6
FIELD01_R.116	Fake	55991,87553	643,88	453,84	546,9
FIELD01_R.116	Fake	55991,87553	846,93	331,02	1409
