OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2017-035B","CZ-3B R/B","42764","PRC","294.10","25.69","16350","193","","0","2017-06-18",""
"2017-035A","CHINASAT 9A","42763","PRC","306.20","26.82","17090","251","","0","2017-06-18",""
"2017-034E","CZ-4B R/B","42762","PRC","92.64","43.12","540","269","","0","2017-06-15",""
"2017-034D","ZHUHAI-1 02","42761","PRC","95.43","43.02","545","534","","0","2017-06-15",""
"2017-034C","NUSAT-3C","42760","ARGN","95.45","43.02","545","536","","0","2017-06-15",""
"2017-034B","ZHUHAI-1 01","42759","PRC","95.43","43.02","545","534","","0","2017-06-15",""
"2017-034A","HXTM","42758","PRC","95.47","43.02","545","537","","0","2017-06-15",""
"2017-033A","PROGRESS MS-06","42756","CIS","92.66","51.64","408","402","LARGE","0","2017-06-14",""
"2017-019E","OBJECT E","42755","US","94.28","51.64","491","476","MEDIUM","0","2017-04-18",""
"2017-019D","OBJECT D","42754","US","94.28","51.64","491","476","SMALL","0","2017-04-18",""
"2017-019C","OBJECT C","42753","US","94.28","51.64","491","476","MEDIUM","0","2017-04-18",""
"2017-019B","OBJECT B","42752","US","94.28","51.64","491","476","MEDIUM","0","2017-04-18",""
"2017-032C","BREEZE-M DEB (TANK)","42751","CIS","232.77","49.72","11990","323","SMALL","0","2017-06-08",""
"2017-032B","BREEZE-M R/B","42750","CIS","636.13","31.16","34456","1791","LARGE","0","2017-06-08",""
"2017-032A","ECHOSTAR 21","42749","US","1435.46","7.49","35792","35756","SMALL","0","2017-06-08",""
"2017-031B","GSLV R/B","42748","IND","605.26","21.74","34489","159","LARGE","0","2017-06-05",""
"2017-031A","GSAT 19","42747","IND","1436.11","0.06","35800","35774","LARGE","0","2017-06-05",""
"2017-030A","DRAGON CRS-11","42744","US","92.66","51.64","408","402","MEDIUM","0","2017-06-03",""
"2017-029D","ARIANE 5 DEB (SYLDA)","42743","FR","629.48","6.07","35638","267","SMALL","0","2017-06-01",""
"2017-029C","ARIANE 5 R/B","42742","FR","631.74","6.10","35753","267","SMALL","0","2017-06-01",""
"2017-029B","EUTELSAT 172B","42741","EUTE","686.10","5.20","37370","1410","SMALL","0","2017-06-01",""
"2017-029A","VIASAT 2","42740","US","1416.91","0.30","54453","16368","SMALL","0","2017-06-01",""
"2017-028B","H-2A R/B","42739","JPN","626.27","31.77","35461","278","SMALL","0","2017-06-01",""
"2017-028A","QZS-2","42738","JPN","1436.29","44.76","38963","32618","SMALL","0","2017-06-01",""
"1998-067MS","ATLANTIS","42737","US","92.56","51.64","405","395","SMALL","0","1998-11-20",""
"1998-067MR","BEEAGLESAT","42736","TURK","92.59","51.64","407","396","SMALL","0","1998-11-20",""
