123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
----- NORAD# 38353 -----

CZ-3B R/B
1 38353U 12028B   17222.13261984 +.00013102 +00000-0 +29868-3 0  9996
2 38353 026.8442 156.8208 4754421 242.1014 062.2700 06.16526084086033

Object int ID:      2012-028B

Start time:         2017-08-10 10:19:03.0 (UTC)
Start time:         57975.42989583333 days (MJD)
Observatory:        -68.4375 deg, -20.9817 deg, 2200.0 m
Exp time:           36 s
Visual mag:         10.5 ; 10.5
Standard mag:       5.9
Angular speed:      3227.838 arcmin/min
Position angle:     268.318 deg

Date                      Az         h          R.A.       dec        Phase  Obs. r.    Angular      Shadow
(UTC)                     [deg]      [deg]      [deg]      [deg]      [deg]  [km]       [arcm/min]             

2017-08-10 10:19:03.0     200.68616  22.6045    323.67808  -70.81864  55.345 556.805    3227.838     false 
2017-08-10 10:19:04.0     199.69904  22.71354   324.07644  -71.72732  56.260 555.532    3214.939     false 
2017-08-10 10:19:05.0     198.7061   22.81624   324.51418  -72.63906  57.180 554.399    3200.73      false 
2017-08-10 10:19:06.0     197.70792  22.91243   324.99786  -73.55328  58.103 553.405    3185.244     false 
2017-08-10 10:19:07.0     196.70504  23.00197   325.53558  -74.46937  59.029 552.552    3168.516     false 
2017-08-10 10:19:08.0     195.69804  23.0847    326.1374   -75.38666  59.958 551.841    3150.585     false 
2017-08-10 10:19:09.0     194.68752  23.16052   326.81608  -76.30441  60.889 551.27     3131.489     false 
2017-08-10 10:19:10.0     193.67408  23.22929   327.58788  -77.22181  61.822 550.842    3111.272     false 
2017-08-10 10:19:11.0     192.65836  23.29094   328.47396  -78.13793  62.756 550.557    3089.976     false 
2017-08-10 10:19:12.0     191.64096  23.34537   329.50236  -79.05169  63.691 550.414    3067.649     false 
2017-08-10 10:19:13.0     190.62252  23.39254   330.71072  -79.96178  64.626 550.414    3044.336     false 
2017-08-10 10:19:14.0     189.60368  23.43239   332.15104  -80.8666   65.561 550.556    3020.086     false 
2017-08-10 10:19:15.0     188.58508  23.46491   333.89662  -81.76403  66.495 550.841    2994.948     false 
2017-08-10 10:19:16.0     187.56738  23.49008   336.05392  -82.65121  67.428 551.269    2968.972     false 
2017-08-10 10:19:17.0     186.55116  23.50791   338.78224  -83.52402  68.359 551.838    2942.208     false 
2017-08-10 10:19:18.0     185.53712  23.51843   342.32792  -84.37618  69.288 552.549    2914.708     false 
2017-08-10 10:19:19.0     184.5258   23.52169   347.08384  -85.19758  70.215 553.401    2886.522     false 
2017-08-10 10:19:20.0     183.51788  23.51773   353.69008  -85.97079  71.138 554.394    2857.702     false 
2017-08-10 10:19:21.0     182.5139   23.50665   3.16639    -86.66447  72.058 555.526    2828.298     false 
2017-08-10 10:19:22.0     181.51448  23.48854   16.89434   -87.22182  72.974 556.796    2798.361     false 
2017-08-10 10:19:23.0     180.5202   23.4635    35.6505    -87.55257  73.886 558.204    2767.941     false 
2017-08-10 10:19:24.0     179.53156  23.43165   57.08547   -87.56753  74.793 559.749    2737.087     false 
2017-08-10 10:19:25.0     178.54914  23.39313   76.0901    -87.26608  75.695 561.429    2705.847     false 
2017-08-10 10:19:26.0     177.57342  23.34808   90.07286   -86.73916  76.591 563.244    2674.268     false 
2017-08-10 10:19:27.0     176.6049   23.29668   99.72117   -86.08079  77.482 565.191    2642.397     false 
2017-08-10 10:19:28.0     175.64402  23.23908   106.43343  -85.35018  78.366 567.27     2610.279     false 
2017-08-10 10:19:29.0     174.69124  23.17546   111.25556  -84.57985  79.244 569.479    2577.958     false 
2017-08-10 10:19:30.0     173.74696  23.10602   114.84409  -83.78763  80.115 571.816    2545.475     false 
2017-08-10 10:19:31.0     172.8116   23.03094   117.60138  -82.98379  80.978 574.281    2512.872     false 
2017-08-10 10:19:32.0     171.88546  22.95043   119.77901  -82.17456  81.834 576.87     2480.187     false 
2017-08-10 10:19:33.0     170.96892  22.8647    121.53931  -81.36394  82.683 579.584    2447.458     false 
2017-08-10 10:19:34.0     170.06228  22.77395   122.99057  -80.5546   83.523 582.419    2414.722     false 
2017-08-10 10:19:35.0     169.16584  22.6784    124.20729  -79.74842  84.355 585.374    2382.012     false 
2017-08-10 10:19:36.0     168.2798   22.57827   125.24214  -78.94677  85.179 588.447    2349.362     false 
2017-08-10 10:19:37.0     167.40446  22.47376   126.13336  -78.15069  85.994 591.637    2316.801     false 
2017-08-10 10:19:38.0     166.53997  22.36511   126.90927  -77.36094  86.801 594.941    2284.36      false 
2017-08-10 10:19:39.0     165.68654  22.25252   127.59127  -76.57815  87.598 598.357    2252.065     false 

SatEph
